location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,monthly,vw,3,1926-02-28,-0.00394011137160413
usa,short_term_reversal,monthly,vw,3,1926-03-31,-0.0444364671097217
usa,short_term_reversal,monthly,vw,3,1926-04-30,-0.00195921568886155
usa,short_term_reversal,monthly,vw,3,1926-05-31,-0.00371874965366503
usa,short_term_reversal,monthly,vw,4,1926-06-30,0.0382156494053297
usa,short_term_reversal,monthly,vw,4,1926-07-31,-0.0162985522527204
usa,short_term_reversal,monthly,vw,4,1926-08-31,-0.000539236742332965
usa,short_term_reversal,monthly,vw,4,1926-09-30,-0.00801502530139918
usa,short_term_reversal,monthly,vw,4,1926-10-31,0.00134853952823466
usa,short_term_reversal,monthly,vw,4,1926-11-30,0.0192439598335789
usa,short_term_reversal,monthly,vw,4,1926-12-31,0.0121157261353788
usa,short_term_reversal,monthly,vw,4,1927-01-31,-0.00709436077870313
usa,short_term_reversal,monthly,vw,4,1927-02-28,0.00431400517773878
usa,short_term_reversal,monthly,vw,4,1927-03-31,-0.0223503020486321
usa,short_term_reversal,monthly,vw,4,1927-04-30,-0.0216335669798458
usa,short_term_reversal,monthly,vw,4,1927-05-31,-0.00886805870950382
usa,short_term_reversal,monthly,vw,4,1927-06-30,0.000931487882110901
usa,short_term_reversal,monthly,vw,4,1927-07-31,0.0163981718441516
usa,short_term_reversal,monthly,vw,4,1927-08-31,-0.0163376798090756
usa,short_term_reversal,monthly,vw,4,1927-09-30,-0.00731348550805495
usa,short_term_reversal,monthly,vw,4,1927-10-31,-0.00292349161787835
usa,short_term_reversal,monthly,vw,4,1927-11-30,0.00104887285670682
usa,short_term_reversal,monthly,vw,4,1927-12-31,0.00697736994010792
usa,short_term_reversal,monthly,vw,4,1928-01-31,-0.00512090709070907
usa,short_term_reversal,monthly,vw,4,1928-02-29,0.0180709395382306
usa,short_term_reversal,monthly,vw,4,1928-03-31,-0.00190485429084397
usa,short_term_reversal,monthly,vw,4,1928-04-30,-0.0114081978346501
usa,short_term_reversal,monthly,vw,4,1928-05-31,0.0242780245007095
