location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,resff3_12_1,daily,ew,1,272,129,1953-05-01,0.000143942011627907
usa,resff3_12_1,daily,ew,1,272,129,1953-05-04,-0.00204493497909145
usa,resff3_12_1,daily,ew,1,272,129,1953-05-05,0.00137463576826042
usa,resff3_12_1,daily,ew,1,272,129,1953-05-06,0.00207539356637394
usa,resff3_12_1,daily,ew,1,271,128,1953-05-07,0.00161415091809508
usa,resff3_12_1,daily,ew,1,272,129,1953-05-08,0.00184521560527999
usa,resff3_12_1,daily,ew,1,272,129,1953-05-11,0.00241358810494389
usa,resff3_12_1,daily,ew,1,272,129,1953-05-12,0.00242332111488047
usa,resff3_12_1,daily,ew,1,272,129,1953-05-13,-0.00161196187922155
usa,resff3_12_1,daily,ew,1,271,129,1953-05-14,0.00128184681689706
usa,resff3_12_1,daily,ew,1,271,129,1953-05-15,-0.000806521923326286
usa,resff3_12_1,daily,ew,1,272,129,1953-05-18,0.0000855235196996801
usa,resff3_12_1,daily,ew,1,272,129,1953-05-19,-0.00220998716808153
usa,resff3_12_1,daily,ew,1,272,129,1953-05-20,0.0000229862686561503
usa,resff3_12_1,daily,ew,1,272,129,1953-05-21,0.000525039504439747
usa,resff3_12_1,daily,ew,1,272,129,1953-05-22,-0.000445027342500135
usa,resff3_12_1,daily,ew,1,272,129,1953-05-25,0.00118491876345747
usa,resff3_12_1,daily,ew,1,272,129,1953-05-26,0.00278726098569957
usa,resff3_12_1,daily,ew,1,271,129,1953-05-27,-0.000789442418588387
usa,resff3_12_1,daily,ew,1,272,129,1953-05-28,0.00148105800304115
usa,resff3_12_1,daily,ew,1,272,129,1953-05-29,-0.000591993789244863
usa,resff3_12_1,daily,ew,1,458,221,1953-06-01,-0.00164663144637359
usa,resff3_12_1,daily,ew,1,459,222,1953-06-02,0.000900557989154978
usa,resff3_12_1,daily,ew,1,458,222,1953-06-03,0.000871363444360816
usa,resff3_12_1,daily,ew,1,459,222,1953-06-04,0.000779282308820848
usa,resff3_12_1,daily,ew,1,458,222,1953-06-05,-0.000881657530185882
usa,resff3_12_1,daily,ew,1,458,221,1953-06-08,0.000641199555804539
usa,resff3_12_1,daily,ew,1,459,222,1953-06-09,0.000333460883607029
usa,resff3_12_1,daily,ew,1,459,222,1953-06-10,-0.0011908858020869
usa,resff3_12_1,daily,ew,1,459,222,1953-06-11,-0.000511461770897481
usa,resff3_12_1,daily,ew,1,459,222,1953-06-12,0.0021791549455012
usa,resff3_12_1,daily,ew,1,459,222,1953-06-15,-0.00109287453523777
usa,resff3_12_1,daily,ew,1,457,221,1953-06-16,0.0020941595733664
usa,resff3_12_1,daily,ew,1,459,222,1953-06-17,-0.00151873965464135
usa,resff3_12_1,daily,ew,1,458,222,1953-06-18,-0.000206053709949823
usa,resff3_12_1,daily,ew,1,458,221,1953-06-19,0.000368301032803056
usa,resff3_12_1,daily,ew,1,459,222,1953-06-22,0.000336973228178812
usa,resff3_12_1,daily,ew,1,459,222,1953-06-23,0.000974183820817653
usa,resff3_12_1,daily,ew,1,459,222,1953-06-24,0.00144983965514312
usa,resff3_12_1,daily,ew,1,459,222,1953-06-25,0.00055034613551146
usa,resff3_12_1,daily,ew,1,459,222,1953-06-26,0.000218450817282473
usa,resff3_12_1,daily,ew,1,459,222,1953-06-29,0.000843880419785608
usa,resff3_12_1,daily,ew,1,459,222,1953-06-30,-0.000250074395763484
usa,resff3_12_1,daily,ew,1,556,273,1953-07-01,0.000549381866529466
usa,resff3_12_1,daily,ew,1,556,273,1953-07-02,0.000239081658017836
usa,resff3_12_1,daily,ew,1,556,273,1953-07-03,-0.000383220503618996
usa,resff3_12_1,daily,ew,1,554,272,1953-07-06,0.00103992032620666
usa,resff3_12_1,daily,ew,1,556,273,1953-07-07,0.000405872092276628
usa,resff3_12_1,daily,ew,1,556,273,1953-07-08,-0.00201488845847086
usa,resff3_12_1,daily,ew,1,555,272,1953-07-09,0.000820177114672724
usa,resff3_12_1,daily,ew,1,556,273,1953-07-10,0.000689341188220143
usa,resff3_12_1,daily,ew,1,555,272,1953-07-13,-0.000794591293543794
usa,resff3_12_1,daily,ew,1,556,273,1953-07-14,0.000988414596233448
usa,resff3_12_1,daily,ew,1,555,273,1953-07-15,0.00168837033089996
usa,resff3_12_1,daily,ew,1,555,272,1953-07-16,0.000488884365660959
usa,resff3_12_1,daily,ew,1,554,271,1953-07-17,0.000135812539342989
usa,resff3_12_1,daily,ew,1,554,272,1953-07-20,0.00114351487581123
usa,resff3_12_1,daily,ew,1,555,272,1953-07-21,0.00291014114988416
usa,resff3_12_1,daily,ew,1,554,271,1953-07-22,0.000708247292821548
usa,resff3_12_1,daily,ew,1,555,272,1953-07-23,0.000605517908162156
usa,resff3_12_1,daily,ew,1,555,272,1953-07-24,-0.00167047313142288
usa,resff3_12_1,daily,ew,1,554,272,1953-07-27,0.00186741410007248
usa,resff3_12_1,daily,ew,1,554,271,1953-07-28,0.00124398383699245
