location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,daily,ew,3,1926-02-01,0.000839477354613153
usa,short_term_reversal,daily,ew,3,1926-02-02,-0.00291033352164531
usa,short_term_reversal,daily,ew,3,1926-02-03,-0.000720625065549334
usa,short_term_reversal,daily,ew,3,1926-02-04,0.000924004675185635
usa,short_term_reversal,daily,ew,3,1926-02-05,-0.000756168276915543
usa,short_term_reversal,daily,ew,3,1926-02-06,0.000767148536689068
usa,short_term_reversal,daily,ew,3,1926-02-08,0.00361511198161832
usa,short_term_reversal,daily,ew,3,1926-02-09,-0.000820267419025645
usa,short_term_reversal,daily,ew,3,1926-02-10,0.00549189541116775
usa,short_term_reversal,daily,ew,3,1926-02-11,-0.00276953886514921
usa,short_term_reversal,daily,ew,3,1926-02-13,-0.00221403680711773
usa,short_term_reversal,daily,ew,3,1926-02-15,0.00249772134592206
usa,short_term_reversal,daily,ew,3,1926-02-16,0.00254477016163339
usa,short_term_reversal,daily,ew,3,1926-02-17,-0.00033723467291033
usa,short_term_reversal,daily,ew,3,1926-02-18,0.000354627096600911
usa,short_term_reversal,daily,ew,3,1926-02-19,-0.0036924828419871
usa,short_term_reversal,daily,ew,3,1926-02-20,-0.00195457486171714
usa,short_term_reversal,daily,ew,3,1926-02-23,0.00235487482351936
usa,short_term_reversal,daily,ew,3,1926-02-24,0.000415077889000153
usa,short_term_reversal,daily,ew,3,1926-02-25,0.00116438519314587
usa,short_term_reversal,daily,ew,3,1926-02-26,0.00169515275847159
usa,short_term_reversal,daily,ew,3,1926-02-27,-0.00233601897221257
usa,short_term_reversal,daily,ew,3,1926-03-01,0.0000863117052244568
usa,short_term_reversal,daily,ew,3,1926-03-02,-0.00144420272766012
usa,short_term_reversal,daily,ew,3,1926-03-03,-0.00858759068939448
usa,short_term_reversal,daily,ew,3,1926-03-04,0.0160213940616292
usa,short_term_reversal,daily,ew,3,1926-03-05,-0.00488773475662229
usa,short_term_reversal,daily,ew,3,1926-03-06,-0.00231669878385616
usa,short_term_reversal,daily,ew,3,1926-03-08,-0.0020309978222524
usa,short_term_reversal,daily,ew,3,1926-03-09,-0.0014936694320969
usa,short_term_reversal,daily,ew,3,1926-03-10,0.00620737688548005
usa,short_term_reversal,daily,ew,3,1926-03-11,0.000778781801699394
usa,short_term_reversal,daily,ew,3,1926-03-12,-0.000398044731100575
usa,short_term_reversal,daily,ew,3,1926-03-13,-0.00430452433976788
usa,short_term_reversal,daily,ew,3,1926-03-15,-0.00343089454913697
usa,short_term_reversal,daily,ew,3,1926-03-16,-0.000898556019180236
usa,short_term_reversal,daily,ew,3,1926-03-17,-0.00264852131485648
usa,short_term_reversal,daily,ew,3,1926-03-18,-0.00401109292295354
usa,short_term_reversal,daily,ew,3,1926-03-19,-0.00181745691034164
usa,short_term_reversal,daily,ew,3,1926-03-20,0.000435180205592273
usa,short_term_reversal,daily,ew,3,1926-03-22,0.00348546722704438
usa,short_term_reversal,daily,ew,3,1926-03-23,-0.00458553022141523
usa,short_term_reversal,daily,ew,3,1926-03-24,0.000101859958725414
usa,short_term_reversal,daily,ew,3,1926-03-25,-0.000971012491716954
usa,short_term_reversal,daily,ew,3,1926-03-26,-0.00490382958073659
usa,short_term_reversal,daily,ew,3,1926-03-27,-0.00527429867550575
usa,short_term_reversal,daily,ew,3,1926-03-29,-0.00465191863875415
usa,short_term_reversal,daily,ew,3,1926-03-30,-0.00399771257246999
usa,short_term_reversal,daily,ew,3,1926-03-31,0.00545735198598196
usa,short_term_reversal,daily,ew,3,1926-04-01,0.00922471577434798
