Period,Model,Factor,Beta,t-statistic,p-value
Pre-1990,CAPM,MKT-RF,-0.05139226392383097,-23.819986127712788,0.0
Pre-1990,FF3,MKT-RF,-0.052835739523510374,-22.744101829019016,0.0
Pre-1990,FF3,SMB,-0.02931221792988864,-7.401944813522561,1.4055423491754482e-13
Pre-1990,FF3,HML,-0.017051413152452694,-4.220272555343466,2.4526726567275503e-05
Pre-1990,FF5,MKT-RF,-0.07953824071951299,-25.683434674302056,0.0
Pre-1990,FF5,SMB,-0.06028211230643285,-12.00636032571375,0.0
Pre-1990,FF5,HML,-0.030650560498773842,-3.705646268983279,0.00021256244484191278
Pre-1990,FF5,RMW,0.013893982071397925,1.4021021649418342,0.1609313601971174
Pre-1990,FF5,CMA,0.045357821746607165,4.821104344272125,1.4593442818622293e-06
Pre-1990,Q5,R_MKT,-0.06673084111504134,-22.49608253943894,0.0
Pre-1990,Q5,R_ME,-0.050508738312497616,-10.036999677822152,0.0
Pre-1990,Q5,R_IA,0.01982444844496871,2.40920542305806,0.01601839564166352
Pre-1990,Q5,R_ROE,-0.025924664305807144,-3.4625508421411966,0.0005389610888271168
Pre-1990,Q5,R_EG,-0.0225866753438198,-2.503207993650096,0.01233471308522116
Post-1990,CAPM,MKT-RF,-0.008210659424810019,-3.7347301159459065,0.00018910130708738038
Post-1990,FF3,MKT-RF,-0.005270599539123475,-2.431695381326113,0.015048129343856465
Post-1990,FF3,SMB,-0.06058701415420364,-14.864600402440008,0.0
Post-1990,FF3,HML,0.029528876760946825,8.389927661046086,0.0
Post-1990,FF5,MKT-RF,-0.0004874874809635584,-0.2040146440379519,0.8383467670356892
Post-1990,FF5,SMB,-0.04756479679347617,-10.926831388361474,0.0
Post-1990,FF5,HML,0.02881887453893397,6.947141365867449,3.992139951947138e-12
Post-1990,FF5,RMW,0.048063636145971825,8.340377816211708,2.220446049250313e-16
Post-1990,FF5,CMA,-0.009329017938251957,-1.3025163404443243,0.19277397910205063
Post-1990,Q5,R_MKT,0.0013510342797886828,0.5652146768255549,0.5719421459171992
Post-1990,Q5,R_ME,-0.045551791436315145,-10.676658522650241,0.0
Post-1990,Q5,R_IA,0.031945635426370834,5.553077554529101,2.88839061557411e-08
Post-1990,Q5,R_ROE,0.015189939802976567,2.5223237680315505,0.01167570404180518
Post-1990,Q5,R_EG,0.011220498760078025,1.6119930659621025,0.10699926440097984
