Model,Factor,Beta,t-statistic,p-value
CAPM,MKT-RF,-0.001378116206529519,-1.0729600019976728,0.28330341571064155
FF3,MKT-RF,-0.0013183904672401975,-1.015097767592518,0.31007284171290395
FF3,SMB,-0.026840591679457786,-11.032947504605724,0.0
FF3,HML,0.010268947097988078,4.470056936949473,7.867516571780087e-06
FF5,MKT-RF,0.005576390082567249,3.6953871809931096,0.00022030893299973542
FF5,SMB,-0.019896817382079747,-7.229227494751321,5.084821452783217e-13
FF5,HML,0.00042184429727438886,0.14658623212044483,0.8834605309006935
FF5,RMW,0.024845832066828857,6.502438139979133,8.144995788939013e-11
FF5,CMA,0.035796885496281204,7.6736595965859085,1.7763568394002505e-14
Q4,R_MKT,0.00899410197568892,6.094962490849851,1.1221834572694434e-09
Q4,R_ME,0.0018964206147091232,0.7300814019776656,0.46535214811534
Q4,R_IA,0.03299803326960507,8.801764032786933,0.0
Q4,R_ROE,0.0904579070632621,26.916964502676635,0.0
Q5,R_MKT,0.012896978726951266,8.612832289386185,0.0
Q5,R_ME,0.010583368551820608,3.967984231598146,7.282985647272255e-05
Q5,R_IA,0.03561980135624839,9.5420674469889,0.0
Q5,R_ROE,0.0674544974456254,17.852101680450506,0.0
Q5,R_EG,0.0571015336587521,13.038426688437617,0.0
