location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,resff3_12_1,monthly,vw,1,272,129,1953-05-31,-0.00920453086565453
usa,resff3_12_1,monthly,vw,1,459,222,1953-06-30,0.00160146660868081
usa,resff3_12_1,monthly,vw,1,556,273,1953-07-31,-0.00610306334214473
usa,resff3_12_1,monthly,vw,1,615,302,1953-08-31,0.00424265774568641
usa,resff3_12_1,monthly,vw,1,628,297,1953-09-30,0.00964630891262314
usa,resff3_12_1,monthly,vw,1,641,306,1953-10-31,0.00310799177570667
usa,resff3_12_1,monthly,vw,1,663,329,1953-11-30,0.0176014119592706
usa,resff3_12_1,monthly,vw,1,659,328,1953-12-31,0.0165185689202794
usa,resff3_12_1,monthly,vw,1,661,327,1954-01-31,-0.00967371638333878
usa,resff3_12_1,monthly,vw,1,660,329,1954-02-28,0.00768731288374788
usa,resff3_12_1,monthly,vw,1,666,332,1954-03-31,0.0142664224185623
usa,resff3_12_1,monthly,vw,1,667,329,1954-04-30,0.0216397955196021
usa,resff3_12_1,monthly,vw,1,651,317,1954-05-31,-0.0223659373884997
usa,resff3_12_1,monthly,vw,1,667,327,1954-06-30,0.0428797312716355
usa,resff3_12_1,monthly,vw,1,677,323,1954-07-31,-0.00998666186976782
usa,resff3_12_1,monthly,vw,1,666,313,1954-08-31,-0.00853712669552118
usa,resff3_12_1,monthly,vw,1,663,317,1954-09-30,-0.0183336822883008
usa,resff3_12_1,monthly,vw,1,666,329,1954-10-31,-0.00139455774525389
usa,resff3_12_1,monthly,vw,1,667,327,1954-11-30,0.0106034786941731
usa,resff3_12_1,monthly,vw,1,655,318,1954-12-31,-0.000344927241930817
usa,resff3_12_1,monthly,vw,1,654,321,1955-01-31,0.0155395039987643
usa,resff3_12_1,monthly,vw,1,667,332,1955-02-28,0.0038765696284969
usa,resff3_12_1,monthly,vw,1,666,327,1955-03-31,0.00839344502441046
usa,resff3_12_1,monthly,vw,1,657,322,1955-04-30,0.000767480571817549
usa,resff3_12_1,monthly,vw,1,657,325,1955-05-31,-0.00288798470358105
usa,resff3_12_1,monthly,vw,1,680,323,1955-06-30,0.0633140425739281
usa,resff3_12_1,monthly,vw,1,664,323,1955-07-31,0.0127969393608914
usa,resff3_12_1,monthly,vw,1,661,319,1955-08-31,0.0137315122648649
usa,resff3_12_1,monthly,vw,1,658,311,1955-09-30,0.0271354383865821
usa,resff3_12_1,monthly,vw,1,655,325,1955-10-31,-0.00633062040028462
usa,resff3_12_1,monthly,vw,1,662,318,1955-11-30,0.0209431768958089
usa,resff3_12_1,monthly,vw,1,669,318,1955-12-31,-0.017909723340622
usa,resff3_12_1,monthly,vw,1,659,321,1956-01-31,-0.0134911011193862
usa,resff3_12_1,monthly,vw,1,662,322,1956-02-29,0.0112279672229936
usa,resff3_12_1,monthly,vw,1,669,321,1956-03-31,0.0133919829175292
usa,resff3_12_1,monthly,vw,1,663,313,1956-04-30,0.0186092827867326
usa,resff3_12_1,monthly,vw,1,658,317,1956-05-31,-0.0149051366509868
usa,resff3_12_1,monthly,vw,1,659,310,1956-06-30,0.00819182883934896
usa,resff3_12_1,monthly,vw,1,643,311,1956-07-31,0.0100702010286296
usa,resff3_12_1,monthly,vw,1,634,308,1956-08-31,-0.0216356614397472
usa,resff3_12_1,monthly,vw,1,655,327,1956-09-30,-0.019368985057512
usa,resff3_12_1,monthly,vw,1,652,313,1956-10-31,0.00964919997757346
usa,resff3_12_1,monthly,vw,1,652,315,1956-11-30,0.0463919983402596
usa,resff3_12_1,monthly,vw,1,646,311,1956-12-31,0.0205708100374064
usa,resff3_12_1,monthly,vw,1,654,311,1957-01-31,-0.016104923562754
usa,resff3_12_1,monthly,vw,1,668,308,1957-02-28,-0.00651369723431657
usa,resff3_12_1,monthly,vw,1,663,304,1957-03-31,0.0019615406461745
usa,resff3_12_1,monthly,vw,1,668,308,1957-04-30,0.0048758547523676
usa,resff3_12_1,monthly,vw,1,660,295,1957-05-31,0.00142460533084102
usa,resff3_12_1,monthly,vw,1,664,315,1957-06-30,0.000590766486253977
usa,resff3_12_1,monthly,vw,1,653,311,1957-07-31,-0.00805090421154517
usa,resff3_12_1,monthly,vw,1,660,321,1957-08-31,-0.00269929216237544
usa,resff3_12_1,monthly,vw,1,658,322,1957-09-30,-0.00361203826222237
usa,resff3_12_1,monthly,vw,1,665,331,1957-10-31,0.0182522344579215
usa,resff3_12_1,monthly,vw,1,672,324,1957-11-30,0.0274095066316464
usa,resff3_12_1,monthly,vw,1,670,329,1957-12-31,0.0474595466257328
usa,resff3_12_1,monthly,vw,1,665,325,1958-01-31,-0.00644400085846135
usa,resff3_12_1,monthly,vw,1,666,327,1958-02-28,0.0129499708865801
usa,resff3_12_1,monthly,vw,1,663,325,1958-03-31,-0.00519948553882458
usa,resff3_12_1,monthly,vw,1,673,329,1958-04-30,-0.0106129179553931
usa,resff3_12_1,monthly,vw,1,654,310,1958-05-31,-0.0024503142043949
usa,resff3_12_1,monthly,vw,1,654,313,1958-06-30,-0.00745066696495056
usa,resff3_12_1,monthly,vw,1,642,303,1958-07-31,-0.0161409815784551
usa,resff3_12_1,monthly,vw,1,632,301,1958-08-31,-0.0103454831211192
usa,resff3_12_1,monthly,vw,1,634,290,1958-09-30,0.000844275114800175
usa,resff3_12_1,monthly,vw,1,647,299,1958-10-31,0.013046268358956
usa,resff3_12_1,monthly,vw,1,654,321,1958-11-30,0.00981075690895313
usa,resff3_12_1,monthly,vw,1,646,312,1958-12-31,0.0146643075682728
usa,resff3_12_1,monthly,vw,1,666,328,1959-01-31,0.00706009026616389
usa,resff3_12_1,monthly,vw,1,664,327,1959-02-28,0.0268704539866638
usa,resff3_12_1,monthly,vw,1,664,326,1959-03-31,-0.00371019759987471
usa,resff3_12_1,monthly,vw,1,680,338,1959-04-30,0.0275956552095508
usa,resff3_12_1,monthly,vw,1,657,328,1959-05-31,0.0200299281261563
usa,resff3_12_1,monthly,vw,1,670,322,1959-06-30,0.00603586491600895
usa,resff3_12_1,monthly,vw,1,676,326,1959-07-31,-0.00646875123366214
usa,resff3_12_1,monthly,vw,1,670,328,1959-08-31,0.0158970623888645
usa,resff3_12_1,monthly,vw,1,664,329,1959-09-30,0.0191890538017541
usa,resff3_12_1,monthly,vw,1,678,336,1959-10-31,0.00606989693302284
usa,resff3_12_1,monthly,vw,1,675,329,1959-11-30,0.0104653166996674
usa,resff3_12_1,monthly,vw,1,681,333,1959-12-31,0.000775302279258532
usa,resff3_12_1,monthly,vw,1,668,330,1960-01-31,-0.039468751955772
usa,resff3_12_1,monthly,vw,1,667,332,1960-02-29,-0.0109780789715062
usa,resff3_12_1,monthly,vw,1,672,320,1960-03-31,-0.0209183852729964
usa,resff3_12_1,monthly,vw,1,679,326,1960-04-30,-0.0141937877729878
usa,resff3_12_1,monthly,vw,1,685,331,1960-05-31,-0.0152392598319998
usa,resff3_12_1,monthly,vw,1,682,335,1960-06-30,0.00975086598642505
usa,resff3_12_1,monthly,vw,1,682,325,1960-07-31,-0.0141726095281872
usa,resff3_12_1,monthly,vw,1,679,323,1960-08-31,0.0033901064344844
usa,resff3_12_1,monthly,vw,1,678,327,1960-09-30,0.0070711063271167
usa,resff3_12_1,monthly,vw,1,671,331,1960-10-31,0.0227060642483541
usa,resff3_12_1,monthly,vw,1,671,329,1960-11-30,0.0222653605890936
usa,resff3_12_1,monthly,vw,1,676,334,1960-12-31,0.0382289270251102
usa,resff3_12_1,monthly,vw,1,657,308,1961-01-31,-0.0042444705941839
usa,resff3_12_1,monthly,vw,1,663,299,1961-02-28,0.00572241624749289
usa,resff3_12_1,monthly,vw,1,657,291,1961-03-31,0.00818959248209489
usa,resff3_12_1,monthly,vw,1,665,294,1961-04-30,0.0337792919344213
usa,resff3_12_1,monthly,vw,1,664,306,1961-05-31,-0.0191491127570871
usa,resff3_12_1,monthly,vw,1,663,309,1961-06-30,-0.00377657861566147
usa,resff3_12_1,monthly,vw,1,671,312,1961-07-31,0.00156182184463617
usa,resff3_12_1,monthly,vw,1,672,319,1961-08-31,-0.00385923697034005
usa,resff3_12_1,monthly,vw,1,678,320,1961-09-30,-0.0318459890452032
usa,resff3_12_1,monthly,vw,1,686,330,1961-10-31,0.0139035598497919
usa,resff3_12_1,monthly,vw,1,672,319,1961-11-30,0.0243492158225824
usa,resff3_12_1,monthly,vw,1,671,326,1961-12-31,-0.0211679136848307
usa,resff3_12_1,monthly,vw,1,664,331,1962-01-31,0.0173210629738137
usa,resff3_12_1,monthly,vw,1,674,326,1962-02-28,0.000740644135918359
usa,resff3_12_1,monthly,vw,1,674,319,1962-03-31,0.00983971954224908
usa,resff3_12_1,monthly,vw,1,683,336,1962-04-30,0.0100445954949214
usa,resff3_12_1,monthly,vw,1,687,334,1962-05-31,0.00628038599596532
