Period,Model,Factor,Beta,t-statistic,p-value
Pre-1990,CAPM,MKT-RF,-0.0542351087230389,-5.447355000664345,6.909449412617619e-08
Pre-1990,FF3,MKT-RF,-0.0391391299021148,-3.605456504032906,0.000332001919473468
Pre-1990,FF3,SMB,0.035345347985847445,1.8512708494571195,0.06451937494993776
Pre-1990,FF3,HML,-0.09653780949834594,-5.890332813328424,5.792663460013614e-09
Pre-1990,FF5,MKT-RF,0.026979511227884008,1.6813357207168744,0.09369839587509832
Pre-1990,FF5,SMB,-0.05661072330612316,-2.375551950407957,0.018126558720369612
Pre-1990,FF5,HML,-0.02489095918183878,-0.6615456198540582,0.5087507267288283
Pre-1990,FF5,RMW,-0.029349902315850572,-0.5609018970402098,0.5752670076147821
Pre-1990,FF5,CMA,0.012886012091357063,0.23991636492779422,0.810552640561983
Pre-1990,Q5,R_MKT,0.024309956225730067,1.4361988650351551,0.15210336695346327
Pre-1990,Q5,R_ME,-0.07979940007107887,-3.1332125652699854,0.0019194906963715397
Pre-1990,Q5,R_IA,0.04663695574947969,0.9011840491438324,0.368293616344638
Pre-1990,Q5,R_ROE,-0.046709884688671335,-1.2383100876782818,0.2166766867151988
Pre-1990,Q5,R_EG,-0.1188514350255659,-2.072428115604781,0.03917454252029762
Post-1990,CAPM,MKT-RF,0.0017873856325747786,0.11736372314304276,0.9066282011766678
Post-1990,FF3,MKT-RF,0.009053882105995005,0.5782503712735927,0.5634079895387247
Post-1990,FF3,SMB,-0.019650376793353606,-0.8878573424874289,0.37513053612600644
Post-1990,FF3,HML,0.04782586894599193,2.290594262362571,0.022486374899086004
Post-1990,FF5,MKT-RF,0.012099587710989826,0.7040782980169987,0.4817798429951612
Post-1990,FF5,SMB,0.004347036250670693,0.17194772756150442,0.8635626428464702
Post-1990,FF5,HML,0.04831859125711421,1.6877302568196366,0.09221617277237737
Post-1990,FF5,RMW,0.06162773523434573,1.890292727986801,0.0594170035077044
Post-1990,FF5,CMA,-0.025781169732341073,-0.5932964093903004,0.5533067784575021
Post-1990,Q5,R_MKT,0.015025161670837157,0.8338769031861966,0.40483121441802816
Post-1990,Q5,R_ME,0.011868985475985243,0.4980542944206275,0.6187102364518346
Post-1990,Q5,R_IA,0.03916426006378034,1.2403722618791224,0.2155402341885786
Post-1990,Q5,R_ROE,0.06014098197840814,1.9669257661131632,0.04985919851285692
Post-1990,Q5,R_EG,-0.025404707998685615,-0.6445811983279502,0.5195556101777732
