Model,Factor,Beta,t-statistic,p-value
CAPM,MKT-RF,-0.02610349029818209,-2.3407897894602994,0.019471184289354904
FF3,MKT-RF,-0.022378250675377798,-1.9100005480161217,0.05646709281065232
FF3,SMB,0.004327369480543007,0.2471431045732086,0.8048567371049253
FF3,HML,0.036967245198580086,2.1244684422349898,0.03391702742535285
FF5,MKT-RF,-0.014510843239959307,-1.0616771091781272,0.28873243979277796
FF5,SMB,0.02708938226647485,1.3302197366872104,0.18386016847326214
FF5,HML,-0.01693025485536232,-0.6686365050211789,0.5039381749574072
FF5,RMW,0.037417661575057395,1.3577529344585082,0.17496048530694797
FF5,CMA,0.124959437898778,3.230588838997951,0.0012905914986949263
Q4,R_MKT,-0.01197711896449445,-0.8785109591153071,0.37997186309749686
Q4,R_ME,0.06886134968155412,3.5089854890089422,0.00047898582362493336
Q4,R_IA,0.11222397440906845,3.8936922423546556,0.00010830677056916649
Q4,R_ROE,0.13356935979510315,5.849433613520647,7.612539487666936e-09
Q5,R_MKT,0.006314514519900569,0.44678232182379074,0.6551724306949271
Q5,R_ME,0.08898259953209788,4.4601852759669045,9.558388742725299e-06
Q5,R_IA,0.10527530634283899,3.691721759180581,0.000240324593971053
Q5,R_ROE,0.0856990881659732,3.401592414046412,0.0007085880772197406
Q5,R_EG,0.14722111903460622,4.2651663934368145,2.27621136459355e-05
